file_name,name,family,sub_family,manufacturer,designer,post_script,rf_related,rf_related_description
Teslic`s_Document_Cyr.ttf,Teslic`s Document Cyr Normal,Teslic`s Document Cyr,Normal,,,Teslic`sDocument,False,"There is no information about the manufacturer or designer of the font 'Teslic`s Document Cyr Normal'. The font name includes 'Cyr', which may suggest Cyrillic script support, commonly used in Russia and other countries, but there is no direct evidence linking the font or its author to Russia."
Psaltyr_ieUcs.ttf,Psaltyr ieUcs,Psaltyr ieUcs,Regular,,Vladislav V.Dorosh,Psaltyr-ieUcs,True,"The font designer, Vladislav V. Dorosh, has a Slavic name commonly found in Russia and neighboring countries. The font name 'Psaltyr' suggests a connection to the Psalter, a religious text significant in Eastern Orthodox Christianity, which is prevalent in Russia. Therefore, the font and its author are related to Russia through cultural and linguistic ties."
JournalCTT.ttf,JournalCTT,JournalCTT,Regular,,,JournalCTT,False,"There is no information indicating that the font 'JournalCTT' or its author/designer is related to Russia. Both manufacturer and designer fields are null, and no other data suggests a connection to Russia or any other country."
VantaLight.ttf,VantaLight,VantaLight,Regular,,,VantaLight,False,There is no information indicating that the font 'VantaLight' or its author/designer is related to Russia or any Russian entity.
Sapfir-Modern.ttf,Sapfir-Modern,Sapfir-Modern,Regular,Gophmann A.L. cyr code page,,Sapfir-Modern,True,"The font 'Sapfir-Modern' is manufactured by Gophmann A.L., which is a Russian type foundry known for creating Cyrillic fonts. The mention of 'cyr code page' indicates it supports Cyrillic script, commonly used in Russia and other Slavic countries."
StandardPosterC_Regular.ttf,StandardPosterC,StandardPosterC,Regular,,,StandardPosterC,False,"No information about the font's author or manufacturer is provided, and there is no indication that the font is related to Russia or any Russian entity."
CyrillicGaramond_Italic.ttf,CyrillicGaramondItalic,CyrillicGaramond,Italic,,,CyrillicGaramondItalic,True,"The font name 'CyrillicGaramondItalic' indicates it supports the Cyrillic script, which is used in Russia and other Slavic countries. Although the manufacturer and designer are not specified, the use of 'Cyrillic' in the font name suggests a relation to Russian or other Cyrillic-using cultures."
Romance_Casco.ttf,Romance Fatal Serif,Romance Fatal Serif,Normal,Juan Casco,Juan Casco,RomanceFatalSerif,False,"The font 'Romance Fatal Serif' is designed and manufactured by Juan Casco, who does not have any known relation to Russia. There is no indication that the font or its author is related to Russia or any Russian entities."
FrizQuadrataC_Bold.ttf,FrizQuadrataC-Bold,FrizQuadrataC,Bold,,,FrizQuadrataC-Bold,False,"The font FrizQuadrataC-Bold does not have any known relation to Russia. It is a typeface designed by Ernst Friz and Victor Caruso, primarily associated with Western typography and not linked to Russian design or authorship."
Rococo_Initial.ttf,Rococo Initial,Rococo Initial,Regular,Michael Hagemann & Alexandra Gophmann on base 'Art of font 1899',,RococoInitial,False,The font 'Rococo Initial' is manufactured by Michael Hagemann & Alexandra Gophmann based on 'Art of font 1899'. There is no indication that the authors or the font have any relation to Russia.
Le_Grand.ttf,Le Grand,Le Grand,Regular,Gophmann A.L.,Gophmann A.L.,LeGrand,True,"The font 'Le Grand' is designed and manufactured by Gophmann A.L., a name that appears to be of Russian origin or associated with Russia. Therefore, the author and manufacturer have a relation to Russia."
hooge_05_55_Cyr2.ttf,hooge 05_55 Cyr2,hooge 05_55 Cyr2,Regular,,Craig Kroeger (eng) & Nikolay Dubina (rus),hooge05_55Cyr2,True,"The font 'hooge 05_55 Cyr2' was co-designed by Nikolay Dubina, who is Russian (rus), indicating a direct relation to Russia. The other designer, Craig Kroeger, is English (eng)."
AGZeppelin_Oblique_.ttf,AGZeppelin-Oblique ,AGZeppelin,Oblique ,,,AGZeppelin-Oblique,False,"There is no information about the manufacturer or designer of the font AGZeppelin-Oblique, and the font name does not indicate any relation to Russia. Therefore, no relation to Russia or any other country can be established based on the provided data."
Avatar.ttf,Avatar Normal,Avatar,Regular,,,AvatarNormal,False,There is no information indicating that the font 'Avatar Normal' or its designer/manufacturer has any relation to Russia.
Myriad_Pro_Black_Cond_Bold.ttf,MyriadPro-BlackCond,Myriad Pro Black Cond,Bold,,Robert Slimbach and Carol Twombly,MyriadPro-BlackCond,False,"The font 'Myriad Pro Black Cond' was designed by Robert Slimbach and Carol Twombly, who are American type designers. There is no known relation of this font or its designers to Russia."
Pixel_Cyr.ttf,Pixel Cyr Normal,Pixel Cyr,Normal,,Swamp Design & Dubina Nikolay,PixelCyr-Normal,True,"The font 'Pixel Cyr Normal' is designed by Swamp Design & Dubina Nikolay. The name 'Nikolay Dubina' is a Russian name, indicating that the designer is likely Russian or has Russian origins. Therefore, the font has a relation to Russia through its designer."
Arimo_Regular.ttf,Arimo,Arimo,Regular,Ascender Corporation,Steve Matteson,Arimo,False,"The font 'Arimo' was designed by Steve Matteson, an American type designer, and manufactured by Ascender Corporation, a US-based company. There is no known relation to Russia or Russian authors in the creation or design of this font."
MonoCondensedC_Bold_Italic.ttf,MonoCondensedC Bold Italic,MonoCondensedC,Bold Italic,,,MonoCondensedCBoldItalic,False,There is no information indicating that the font 'MonoCondensedC Bold Italic' or its author/designer is related to Russia or any Russian entity.
DM.ttf,DM,DM,Normal,,,DM,False,The font 'DM' has no publicly known relation to Russia or Russian authors. There is no information about the designer or manufacturer linking it to Russia or any other country.
Lovely_Sofia_BG.ttf,LovelySofiaBG,Lovely Sofia BG,Regular,Jana Orsolic,,LovelySofiaBG,False,"The font 'Lovely Sofia BG' is manufactured by Jana Orsolic, who is not related to Russia. There is no indication that the author or font has any connection to Russia."
NewBaskervilleC_Bold.ttf,NewBaskervilleC-Bold,NewBaskervilleC,Bold,,,NewBaskervilleC-Bold,False,There is no information indicating that the font 'NewBaskervilleC-Bold' or its designer/manufacturer has any relation to Russia.
Soniano_Sans_Unicode_Regular.ttf,Soniano Sans Unicode Regular,Soniano Sans Unicode,Regular,,Jayvee D. Enaguas (Grand Chaos),SonianoSansUnicodeRegular,False,"The designer, Jayvee D. Enaguas (Grand Chaos), does not have any known relation to Russia. There is no indication that the font or its author is related to Russia or any Russian entities."
DS_Supervixen_Cyr.ttf,DS Supervixen Cyr,DS Supervixen Cyr,Regular,,Ben (Font•a•licious) & Dubina Nikolay (D-Studio) - cyrillic,DSSupervixenCyr,True,"The font 'DS Supervixen Cyr' includes Cyrillic characters designed by Dubina Nikolay, who is likely Russian or from a Russian-speaking region, indicating a relation to Russia through the Cyrillic script and the designer's name."
ZurichCyrillic_BT_Bold.ttf,Zurich Cyrillic Bold BT,ZurichCyrillic BT,Bold,,,ZurichCyrillicBT-Bold,True,"The font name 'Zurich Cyrillic Bold BT' indicates it supports the Cyrillic script, which is used in Russian and other Slavic languages. Although the manufacturer and designer are not specified, the presence of 'Cyrillic' in the font name suggests it is designed to support Russian language characters, thus relating it to Russia."
Russia_Bold.ttf,Russia-Bold,Russia,Bold,DA,,Russia-Bold,True,"The font name 'Russia-Bold' and family 'Russia' directly reference Russia, indicating a relation to the country. The manufacturer 'DA' is not further specified, and no designer information is provided, but the font's naming clearly associates it with Russia."
M+_1c_thin.ttf,M+ 1c thin,M+ 1c,thin,,,mplus-1c-thin,True,"The M+ fonts are a Japanese open-source font project, but the designer is known as M+ FONTS PROJECT, which is a community-driven project primarily based in Japan. There is no direct relation to Russia in terms of author or font origin."
Verdana_Bold_Italic.ttf,Verdana Gras Italique,Verdana,Gras Italique,,,Verdana-BoldItalic,False,"The font 'Verdana' was designed by Matthew Carter, an American type designer, and has no known relation to Russia or Russian authors."
a_AlgeriusNrCm.ttf,a_AlgeriusNrCm,a_AlgeriusNrCm,Regular,,,AAlgeriusNrCm,False,"The font 'a_AlgeriusNrCm' does not have any information indicating a relation to Russia. There is no manufacturer or designer data provided, and the font name does not suggest any connection to Russia or any other specific country."
English_Rose.ttf,English Rose,English Rose,Regular,Gophmann A.L (cyr. code page),,EnglishRose,True,"The manufacturer 'Gophmann A.L' uses a Cyrillic code page, indicating a connection to Russia or Russian language environments."
BodoniCyrillicFWF_Bold.ttf,BodoniCyrillicFWF Bold,BodoniCyrillicFWF,Bold,,,BodoniCyrillicFWF-Bold,True,"The font name 'BodoniCyrillicFWF' indicates it supports Cyrillic script, which is used in Russian and other Slavic languages. Although the manufacturer and designer are not specified, the inclusion of 'Cyrillic' in the font name suggests a relation to Russia or Russian language usage."
American_TextC.ttf,American TextC,American TextC,Regular,Gophmann A.L. ,Gophmann A.L.,AmericanTextC,False,"The font 'American TextC' is designed and manufactured by Gophmann A.L., which does not indicate any relation to Russia. The name and details suggest no connection to Russia or Russian culture."
MinionCyr-Italic.ttf,MinionCyr-Italic,MinionCyr-Italic,Regular,,,MinionCyr-Italic,True,"The font 'MinionCyr-Italic' is a Cyrillic variant of the Minion typeface, which supports Cyrillic script used in Russian and other Slavic languages. While the original Minion font was designed by Robert Slimbach, an American type designer, the 'Cyr' suffix indicates adaptation for Cyrillic characters, making it relevant for Russian language use. Therefore, the font is related to Russia through its Cyrillic script support, although the original designer is not Russian."
Century_Gothic_Bold_Italic.ttf,Century Gothic Gras Italique,Century Gothic,Gras Italique,"Monotype Typography, Inc.",Monotype Type Drawing Office,CenturyGothic-BoldItalic,False,"The font 'Century Gothic Gras Italique' is designed by Monotype Type Drawing Office, a part of Monotype Typography, Inc., which is a company based in the United States. There is no known relation of the font or its designers to Russia."
Venecia.ttf,Venecia,Venecia,Regular,Alexandra Gophmann & Anatole,,Venecia,True,"The font 'Venecia' is manufactured by Alexandra Gophmann & Anatole. Alexandra Gophmann is a Russian type designer, indicating a direct relation to Russia through the manufacturer."
Constacia_Modern.ttf,Constacia Modern,Constacia Modern,Regular,Latin (by ITF) cyr code page by A.Gophman on base 'Art and Letters 1912',,ConstaciaModern,True,"The font 'Constacia Modern' includes a Cyrillic code page created by A. Gophman, indicating a relation to Russia or Russian language support. The base font 'Art and Letters 1912' suggests historical roots, and the Cyrillic code page addition by A. Gophman connects it to Russian typography."
Helios__Bold_Italic.ttf,Helios  Bold Italic,Helios, Bold Italic,,,HeliosBoldItalic,False,"There is no information about the font's designer or manufacturer, and no indication that the font or its author is related to Russia."
PetersburgCTT.ttf,PetersburgCTT,PetersburgCTT,Regular,,,PetersburgCTT-Regular,True,"The font name 'PetersburgCTT' suggests a relation to Saint Petersburg, Russia, indicating a likely connection to Russia either through the font's origin or inspiration. Although the manufacturer and designer are not specified, the name strongly implies Russian association."
M+_1m_light.ttf,M+ 1m light,M+ 1m,light,,,mplus-1m-light,False,The font 'M+ 1m light' does not have any known relation to Russia. It is a Japanese font family designed primarily for use in Japanese typography.
BetinaScriptExtraCTT.ttf,BetinaScriptExtraCTT,BetinaScriptExtraCTT,Regular,,,BetinaScriptExtraCTT-Regular,False,There is no information indicating that the font 'BetinaScriptExtraCTT' or its designer/manufacturer has any relation to Russia.
Vera_Humana_95_Italic.ttf,Vera Humana 95 Italic,Vera Humana 95,Italic,,,VeraHumana95Italic,False,The font 'Vera Humana 95 Italic' does not have any publicly known relation to Russia. There is no information about the designer or manufacturer linking it to Russia or any other country.
V_CC_Phases_On_Stun.ttf,V_CC Phases On Stun Medium Cyr,V_CC Phases On Stun,Medium,,,V_CCPhasesOnStunMedium,False,"There is no information indicating that the font 'V_CC Phases On Stun Medium Cyr' or its author/designer is related to Russia. The font data does not specify any manufacturer or designer, and the font name does not suggest any Russian connection."
uni_05_53.ttf,uni 05_53,uni 05_53,Regular,,,Uni0553,False,"There is no information about the author or designer of the font 'uni 05_53'. The font manufacturer and designer are not specified, and the font name does not indicate any relation to Russia or any other country."
AdonisC-Italic.ttf,AdonisC Italic,AdonisC,Italic,,,AdonisC-Italic,False,There is no information indicating that the font 'AdonisC Italic' or its designer/manufacturer has any relation to Russia.
Venus_Rising.ttf,VenusRising-Regular,Venus Rising,Regular,Ray Larabie,Ray Larabie,VenusRising-Regular,False,"The font 'Venus Rising' was designed by Ray Larabie, who is a Canadian type designer. There is no known relation of the author or the font to Russia."
Acca_Set.ttf,Acca Set,Acca,Normal,,,Acca-Set,False,There is no information indicating that the font 'Acca Set' or its designer/manufacturer has any relation to Russia.
Minion_Cyrillic_Bold_Italic.ttf,Minion Cyrillic Bold Italic,Minion Cyrillic,Bold Italic,,,Minion-CyrillicBoldItalic,True,"The font 'Minion Cyrillic Bold Italic' is related to Russia through its support for the Cyrillic script, which is used in the Russian language. Although the manufacturer and designer are not specified, the inclusion of Cyrillic characters indicates a connection to Russian or other Cyrillic-using countries."
Konkord-Retro_.ttf,Konkord-Retro ,Konkord-Retro ,Regular,Gophmann A.L.,,Konkord-Retro,True,"The manufacturer, Gophmann A.L., is a Russian type foundry known for creating fonts with Cyrillic support. This indicates a relation to Russia through the manufacturer."
NewtonWINCTT.ttf,NewtonWINCTT,NewtonWINCTT,Regular,,,NewtonWINC,False,There is no information indicating that the font NewtonWINCTT or its designer/manufacturer has any relation to Russia.
CentSchbkCyrill_BT_Bold_Italic.ttf,Century Schoolbook Cyrillic Bold Italic BT,CentSchbkCyrill BT,Bold Italic,,,CenturySchlbkCyrillicBT-BoldIt,True,"The font name 'Century Schoolbook Cyrillic Bold Italic BT' indicates it supports the Cyrillic script, which is used in Russian and several other Slavic languages. The presence of 'Cyrillic' in the font name suggests it is designed to accommodate Russian and related languages. However, there is no specific information about the manufacturer or designer to confirm a direct relation to Russia. The font is related to Russia through its support for the Cyrillic script used in the Russian language."
Nokia_Sans_TitleSmBd_S60.ttf,Nokia Sans TitleSmBd S60,Nokia Sans TitleSmBd S60,Regular,Monotype Imaging Inc.,Agfa Monotype Drawing Office,NokiaSansTitle-SmBdS60,True,"The font 'Nokia Sans TitleSmBd S60' was designed by the Agfa Monotype Drawing Office, which is historically linked to Monotype Imaging Inc., a company with roots in Europe. While the font itself is not directly Russian, Nokia is a Finnish company, and Finland shares a border and historical ties with Russia. The designer is not Russian, but the font's regional context relates to Northern Europe, including proximity to Russia."
mini.ttf,mini,mini,Regular,,,mini,False,No information available about the font 'mini' or its designer/manufacturer indicating any relation to Russia or any other country.
Codename_Coder_Free_4F_Bold.ttf,Codename Coder Free 4F Bold,Codename Coder Free 4F,Bold,,,CodenameCoderFree4F-Bold,False,"The font 'Codename Coder Free 4F Bold' has no available information linking it to Russia or any Russian author or designer. No manufacturer or designer details are provided, and there is no indication of relation to Russia or any other country."
Eleonora.ttf,Eleonora,Eleonora,Regular,A.Gophmann Cyr. code page from catalog 'Art and Fonts 1929' latin by Toto,,Eleonora,True,"The font 'Eleonora' is related to Russia through its manufacturer, A.Gophmann Cyr., which indicates a Cyrillic code page. The font is from the catalog 'Art and Fonts 1929', suggesting a historical Russian or Soviet origin. The inclusion of Cyrillic script and the catalog date imply a connection to Russian typography and design heritage."
Heinrich_Script.ttf,HeinrichScript,HeinrichScript,Regular,C) ; Type Market Ltd,,HeinrichScript,False,The font 'HeinrichScript' is manufactured by 'C) ; Type Market Ltd' with no designer specified. There is no indication that the font or its manufacturer is related to Russia.
Rueck_Licht.ttf,RueckLicht,Rueck Licht,Regular,Peter Wiegel,Peter Wiegel,RueckLicht,False,"The font 'Rueck Licht' and its designer Peter Wiegel have no known relation to Russia. Peter Wiegel is a German typographer and font designer, and the font name is German. There is no indication of any connection to Russia or Russian culture."
T-FLEX_Type_A.ttf,T-FLEX Type A,T-FLEX Type A,Regular,,,T-FLEXTypeA,True,"The font name 'T-FLEX Type A' suggests a connection to T-FLEX CAD software, which is developed by Top Systems, a Russian company. Although the manufacturer and designer fields are null, the association with T-FLEX CAD indicates a relation to Russia."
CyrillicHelvet_Italic.ttf,CyrillicHelvet Italic,CyrillicHelvet,Italic,,,CyrillicHelvetItalic,True,"The font name 'CyrillicHelvet Italic' indicates a relation to the Cyrillic script, which is used primarily in Russia and other Slavic countries. Although the manufacturer and designer are not specified, the use of 'Cyrillic' in the font name suggests it is designed to support Cyrillic characters, commonly used in Russian language typography."
Romantique_Script.ttf,Romantique Script,Romantique Script,Regular,Gophmann A.L. cyr. code page,,RomantiqueScript,True,"The font 'Romantique Script' is manufactured by Gophmann A.L., which is a Russian type foundry known for producing Cyrillic fonts. The mention of 'cyr. code page' indicates support for Cyrillic script, commonly used in Russia and other Slavic countries."
KarollaCTT.ttf,KarollaCTT,KarollaCTT,Regular,,,KarollaCTT-Regular,False,There is no information indicating that the font 'KarollaCTT' or its designer/manufacturer has any relation to Russia.
Franklin_Gothic_Demi_Italic.ttf,Franklin Gothic Demi Italic,Franklin Gothic Demi,Italic,,,FranklinGothic-DemiItalic,False,"The font 'Franklin Gothic Demi Italic' has no known relation to Russia. It is an American sans-serif typeface originally designed by Morris Fuller Benton in the early 20th century, primarily associated with the United States."
Symmetry.ttf,Symmetry BRK,Symmetry BRK,Regular,,,SymmetryBRK,False,There is no information indicating that the font 'Symmetry BRK' or its designer/manufacturer has any relation to Russia.
a_DomIno.ttf,a_DomIno,a_DomIno,Regular,,,ADomIno,False,"No information available about the font's author or designer, and no indication of any relation to Russia or any other country."
MyslCTT.ttf,MyslCTT,MyslCTT,Regular,,,MyslCTT,True,"The font name 'MyslCTT' suggests a connection to the Russian language or Cyrillic script, as 'Mysl' means 'thought' in Russian. Although the manufacturer and designer are not specified, the use of a Cyrillic-based name indicates a relation to Russia or Russian-speaking regions."
Pragmatica_Cyrillic_Bold.ttf,Pragmatica Cyrillic Bold,Pragmatica Cyrillic,Bold,,,PragmaticaCyrillic-Bold,True,"The font name 'Pragmatica Cyrillic Bold' indicates it supports the Cyrillic script, which is used in Russian and several other Slavic and Eurasian languages. Although the manufacturer and designer are not specified, the use of Cyrillic script strongly associates the font with Russia or Russian-speaking regions."
Florentia_Black_Regular.ttf,Florentia Black Italic,Florentia Black,Regular,Zetafonts,Francesco Canovaro,Florentia-BlackItalic,False,"The designer, Francesco Canovaro, is an Italian type designer, and the manufacturer Zetafonts is also based in Italy. There is no known relation to Russia."
OfficinaSansWinCTT.ttf,OfficinaSansWinCTT,OfficinaSansWinCTT,Regular,,,OfficinaSansWinC-Book,False,There is no information indicating that the font 'OfficinaSansWinCTT' or its designer/manufacturer has any relation to Russia.
Liberation_Serif_Italic.ttf,Liberation Serif Italic,Liberation Serif,Italic,Ascender Corporation,Steve Matteson,LiberationSerif-Italic,False,"The font 'Liberation Serif Italic' was designed by Steve Matteson and manufactured by Ascender Corporation, both of which are based in the United States. There is no known relation to Russia or Russian authors in the creation or design of this font."
DuvallC.ttf,DuvallC Normal,DuvallC,Normal,Gophmann A.L. cyr. code page,,DuvallC-Normal,True,"The manufacturer is listed as 'Gophmann A.L. cyr. code page'. The abbreviation 'cyr.' typically refers to Cyrillic, which is used in Russian and other Slavic languages. The name 'Gophmann A.L.' suggests a person possibly of Russian or Eastern European origin. Therefore, the font is related to Russia through its manufacturer, who appears to be associated with Cyrillic script support."
Scandia.ttf,Scandia,Scandia,Regular,A.Gophman (cyr.code page on base font from catalog Berthold 'Scandia 1912' latin by Nick Curtis,,Scandia,True,"The font 'Scandia' includes a Cyrillic code page created by A. Gophman, indicating a connection to Russia or Russian language support. The base font is from the Berthold 'Scandia 1912' Latin font designed by Nick Curtis, but the Cyrillic extension by A. Gophman relates it to Russia."
